episode_reward,coop_rate,opp_coop_rate,reward_difference,episode
1.0,0.8571428571428571,0.0,-4.285714285714286,1
1.0,0.8571428571428571,0.0,-4.285714285714286,2
0.0,1.0,0.0,-5.0,3
0.0,1.0,0.0,-5.0,4
0.0,1.0,0.0,-5.0,5
2.0,0.7142857142857143,0.0,-3.5714285714285716,6
6.0,0.14285714285714285,0.0,-0.7142857142857143,7
7.0,0.0,0.0,0.0,8
5.0,0.2857142857142857,0.0,-1.4285714285714284,9
7.0,0.0,0.0,0.0,10
6.0,0.14285714285714285,0.0,-0.7142857142857143,11
7.0,0.0,0.0,0.0,12
7.0,0.0,0.0,0.0,13
7.0,0.0,0.0,0.0,14
6.0,0.14285714285714285,0.0,-0.7142857142857143,15
6.0,0.14285714285714285,0.0,-0.7142857142857143,16
7.0,0.0,0.0,0.0,17
7.0,0.0,0.0,0.0,18
5.0,0.2857142857142857,0.0,-1.4285714285714284,19
7.0,0.0,0.0,0.0,20
7.0,0.0,0.0,0.0,21
7.0,0.0,0.0,0.0,22
7.0,0.0,0.0,0.0,23
6.0,0.14285714285714285,0.0,-0.7142857142857143,24
6.0,0.14285714285714285,0.0,-0.7142857142857143,25
7.0,0.0,0.0,0.0,26
6.0,0.14285714285714285,0.0,-0.7142857142857143,27
7.0,0.0,0.0,0.0,28
7.0,0.0,0.0,0.0,29
7.0,0.0,0.0,0.0,30
6.0,0.14285714285714285,0.0,-0.7142857142857143,31
7.0,0.0,0.0,0.0,32
7.0,0.0,0.0,0.0,33
7.0,0.0,0.0,0.0,34
7.0,0.0,0.0,0.0,35
6.0,0.14285714285714285,0.0,-0.7142857142857143,36
7.0,0.0,0.0,0.0,37
7.0,0.0,0.0,0.0,38
7.0,0.0,0.0,0.0,39
6.0,0.14285714285714285,0.0,-0.7142857142857143,40
7.0,0.0,0.0,0.0,41
7.0,0.0,0.0,0.0,42
7.0,0.0,0.0,0.0,43
7.0,0.0,0.0,0.0,44
6.0,0.14285714285714285,0.0,-0.7142857142857143,45
7.0,0.0,0.0,0.0,46
7.0,0.0,0.0,0.0,47
7.0,0.0,0.0,0.0,48
7.0,0.0,0.0,0.0,49
7.0,0.0,0.0,0.0,50
6.0,0.14285714285714285,0.0,-0.7142857142857143,51
7.0,0.0,0.0,0.0,52
6.0,0.14285714285714285,0.0,-0.7142857142857143,53
6.0,0.14285714285714285,0.0,-0.7142857142857143,54
7.0,0.0,0.0,0.0,55
7.0,0.0,0.0,0.0,56
6.0,0.14285714285714285,0.0,-0.7142857142857143,57
7.0,0.0,0.0,0.0,58
7.0,0.0,0.0,0.0,59
7.0,0.0,0.0,0.0,60
7.0,0.0,0.0,0.0,61
5.0,0.2857142857142857,0.0,-1.4285714285714284,62
7.0,0.0,0.0,0.0,63
7.0,0.0,0.0,0.0,64
6.0,0.14285714285714285,0.0,-0.7142857142857143,65
7.0,0.0,0.0,0.0,66
7.0,0.0,0.0,0.0,67
7.0,0.0,0.0,0.0,68
7.0,0.0,0.0,0.0,69
7.0,0.0,0.0,0.0,70
6.0,0.14285714285714285,0.0,-0.7142857142857143,71
7.0,0.0,0.0,0.0,72
7.0,0.0,0.0,0.0,73
7.0,0.0,0.0,0.0,74
7.0,0.0,0.0,0.0,75
7.0,0.0,0.0,0.0,76
7.0,0.0,0.0,0.0,77
7.0,0.0,0.0,0.0,78
7.0,0.0,0.0,0.0,79
6.0,0.14285714285714285,0.0,-0.7142857142857143,80
7.0,0.0,0.0,0.0,81
7.0,0.0,0.0,0.0,82
7.0,0.0,0.0,0.0,83
6.0,0.14285714285714285,0.0,-0.7142857142857143,84
7.0,0.0,0.0,0.0,85
7.0,0.0,0.0,0.0,86
7.0,0.0,0.0,0.0,87
7.0,0.0,0.0,0.0,88
6.0,0.14285714285714285,0.0,-0.7142857142857143,89
6.0,0.14285714285714285,0.0,-0.7142857142857143,90
7.0,0.0,0.0,0.0,91
7.0,0.0,0.0,0.0,92
7.0,0.0,0.0,0.0,93
